N°;Referencia;Provincia;Distrito;Giro del inmueble;Tipo de calle/vía;Nombre de calle/vía;AASS
228;SBUX 17 SODIMAC;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;LA MARINA ;Gabriela Varias
229;SBUX 19 UPC;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;PRIMAVERA;Gabriela Varias
230;SBUX 20 LAP;CALLAO;CALLAO;RESTAURANTE\RESTAURANTE;Avenida;ELMER FAUCETT AREOPUERTO JORGE CHAVEZ MEZANINE NORTE;Gabriela Varias
231;SBUX 21 DASSO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;VICTOR MAURTUA;Gabriela Varias
232;SBUX 22 TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;CESAR VALLEJO OESTE;Sheyda Florindez
233;SBUX 23 SAN MIGUEL;LIMA;SAN MIGUEL;RESTAURANTE\RESTAURANTE;Avenida;LA MARINA ;Gabriela Varias
234;SBUX 24 CHICLAYO;CHICLAYO;CHICLAYO;RESTAURANTE\RESTAURANTE;Avenida; MIGUEL DE CERVANTES;Sheyda Florindez
235;SBUX 25 BELLAVISTA;CALLAO;BELLAVISTA;RESTAURANTE\RESTAURANTE;Avenida;OSCAR R. BENAVIDES;Gabriela Varias
236;SBUX 26 MEGA PLAZA;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;Gabriela Varias
237;SBUX 27 DOS DE MAYO;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;CA.LAS FLORES;Gabriela Varias
238;SBUX 28 CENTRO CIVICO;LIMA;LIMA;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA REPUBLICA;Gabriela Varias
239;SBUX 29 OPEN MARSANO;LIMA;SURQUILLO;RESTAURANTE\RESTAURANTE;Avenida;NUEVA TOMAS MARSANO;Gabriela Varias
240;SBUX 30 SUCRE;LIMA;PUEBLO LIBRE;RESTAURANTE\RESTAURANTE;Jiron;ANTONIO JOSE DE SUCRE;Gabriela Varias
241;SBUX 32 MERCADERES;AREQUIPA;AREQUIPA;RESTAURANTE\RESTAURANTE;Avenida;CALLE MERCADERES;Sheyda Florindez
242;SBUX 33 BEGONIAS 2;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;LAS BEGONIAS;Gabriela Varias
243;SBUX 34 CC REAL PLAZA PRIMAVERA;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;ANGAMOS ESTE ;Gabriela Varias
244;SBUX 35 OPEN PLAZA PIURA;PIURA;PIURA;RESTAURANTE\RESTAURANTE;Avenida;ANDRES A. CACERES;Sheyda Florindez
245;SBUX 36 CHACARILLA 2;LIMA;SANTIAGO DE SURCO;RESTAURANTE\RESTAURANTE;Avenida;VELASCO ASTETE ALEJANDRO;Gabriela Varias
246;SBUX 38 JUAN DE ALIAGA, MAGDALENA;LIMA;MAGDALENA DEL MAR;RESTAURANTE\RESTAURANTE;Avenida;MIROQUESADA ;Gabriela Varias
247;SBUX 39 PEDRO DE OSMA;LIMA;BARRANCO;RESTAURANTE\RESTAURANTE;Avenida;PEDRO DE OSMA;Gabriela Varias
248;SBUX 40 CASA LEURO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;28 DE JULIO;Gabriela Varias
249;SBUX 41 CUSCO;CUSCO;CUSCO;RESTAURANTE\RESTAURANTE;Avenida;LORETO;Sheyda Florindez
250;SBUX 42  REAL ONCE;LIMA;SAN ISIDRO;RESTAURANTE\RESTAURANTE;Avenida;BELAUNDE VICTOR A.;Gabriela Varias
251;SBUX 43 SAGA AREQUIPA;AREQUIPA;CAYMA;RESTAURANTE\RESTAURANTE;Avenida;EJERCITO;Sheyda Florindez
252;SBUX 44 PLAZA LIMA SUR;LIMA;CHORRILLOS;RESTAURANTE\RESTAURANTE;Avenida;PASEO DE LA REPUBLICA;Gabriela Varias
253;SBUX 45 PARDO;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE PARDO;Gabriela Varias
254;SBUX 46 PLAZA LIMA NORTE 2;LIMA;INDEPENDENCIA;RESTAURANTE\RESTAURANTE;Avenida;ALFREDO MENDIOLA ;Gabriela Varias
255;SBUX 47 HOTEL MARRIOTT;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Avenida;JOSE A. LARCO ;Gabriela Varias
256;SBUX 48 AVENTURA STA. ANITA;LIMA;SANTA ANITA;RESTAURANTE\RESTAURANTE;Avenida;CARRETERA CENTRAL;Gabriela Varias
257;SBUX 49 AVENTURA TRUJILLO;TRUJILLO;TRUJILLO;RESTAURANTE\RESTAURANTE;Avenida;AMERICA OESTE;Sheyda Florindez
258;SBUX 50 SAN BORJA NORTE;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;BOULEVARD DE SUCO ;Gabriela Varias
259;SBUX 51 MEGA PLAZA CHIMBOTE;SANTA;CHIMBOTE;RESTAURANTE\RESTAURANTE;Avenida;VÍCTOR RAÚL HAYA DE LA TORRE;Sheyda Florindez
260;SBUX 53 STRIP AURORA;LIMA;MIRAFLORES;RESTAURANTE\RESTAURANTE;Calle;JOSÉ SABOGAL;Gabriela Varias
261;SBUX 54 AVENTURA AREQUIPA;AREQUIPA;PAUCARPATA;RESTAURANTE\RESTAURANTE;Avenida;C.C.MALL AVENTURA PLAZA;Sheyda Florindez
262;SBUX 55 CC SAN BORJA MODULO;LIMA;SAN BORJA;RESTAURANTE\RESTAURANTE;Avenida;JAVIER PRADO ESTE;Gabriela Varias
